name,red,green,blue,alpha,id,color
Unknown,80,252,17,255,0,lawngreen
Wall,0,102,51,255,1,darkgreen
Floor,191,191,181,255,2,silver
Ceiling,127,255,127,255,3,lightgreen
Door,255,255,0,255,4,yellow
Stairs,4,86,162,255,5,teal
Structure,109,124,135,255,6,slategray
Shelf,0,255,255,255,7,cyan
Plant,0,0,127,255,8,navy
Bed,151,69,237,255,9,blueviolet
Storage,247,105,134,255,10,lightcoral
Table,204,0,102,255,11,mediumvioletred
Chair,255,255,127,255,12,khaki
Wall_Decoration,0,127,255,255,13,dodgerblue
Couch,204,0,0,255,14,red
Light,10,209,135,255,15,mediumspringgreen
Appliance,255,0,255,255,16,magenta
Thing,182,133,15,255,17,darkgoldenrod
Deformable,0,0,255,255,18,blue
Dynamic_NonHuman,110,61,1,255,19,saddlebrown
Human,127,255,255,255,20,aquamarine
