name,red,green,blue,alpha,id,color
unknown,115,22,236,255,0,blueviolet
sky,135,206,235,255,1,skyblue
tree,0,108,0,255,2,darkgreen
water,0,0,225,255,3,mediumblue
ground,139,69,19,255,4,saddlebrown
grass,0,127,255,255,5,dodgerblue
sand,146,197,157,255,6,darkseagreen
sidewalk,220,220,220,255,7,gainsboro
dock,248,62,35,255,8,orangered
road,100,100,100,255,9,dimgray
path,201,182,90,255,10,darkkhaki
vehicle,0,255,255,255,11,cyan
building,186,85,211,255,12,mediumorchid
shelter,0,73,153,255,13,teal
signal,40,61,249,255,14,royalblue
rock,0,0,0,255,15,black
fence,39,196,191,255,16,lightseagreen
boat,0,255,127,255,17,springgreen
sign,37,49,65,255,18,darkslategray
hill,225,225,0,255,19,gold
bridge,48,135,55,255,20,forestgreen
wall,75,0,130,255,21,indigo
floor,128,128,128,255,22,gray
ceiling,49,131,181,255,23,steelblue
door,179,137,19,255,24,darkgoldenrod
stairs,73,168,252,255,25,cornflowerblue
pole,127,127,255,255,26,mediumslateblue
rail,255,127,0,255,27,darkorange
structure,113,179,22,255,28,olivedrab
window,255,120,120,255,29,salmon
surface,225,0,225,255,30,magenta
flora,0,255,0,255,31,lime
flower,198,157,180,255,32,darkgray
bed,244,194,148,255,33,burlywood
box,0,161,110,255,34,darkcyan
storage,68,253,46,255,35,limegreen
barrel,202,17,112,255,36,mediumvioletred
bag,127,0,0,255,37,maroon
basket,255,127,255,255,38,violet
seating,225,0,0,255,39,red
flag,76,249,211,255,40,turquoise
decor,255,255,127,255,41,khaki
light,115,61,165,255,42,slateblue
appliance,127,255,0,255,43,chartreuse
trash,76,209,99,255,44,mediumseagreen
bicycle,121,20,73,255,45,brown
food,244,68,252,255,46,orchid
clothes,12,179,12,255,47,forestgreen 1
thing,153,253,112,255,48,lightgreen
animal,189,83,80,255,49,indianred
human,251,59,163,255,50,deeppink
