name,red,green,blue,alpha,id,color
Unknown,10,45,76,255,0,midnightblue
Sky,135,206,235,255,1,skyblue
Tree,0,108,0,255,2,darkgreen
Water,0,0,225,255,3,mediumblue
Ground,139,69,19,255,4,saddlebrown
Sidewalk,220,220,220,255,5,gainsboro
Road,100,100,100,255,6,dimgray
Vehicle,0,255,255,255,7,cyan
Building,186,85,211,255,8,mediumorchid
Signal,209,151,185,255,9,plum
Rock,0,0,0,255,10,black
Fence,182,175,79,255,11,darkkhaki
Boat,44,146,171,255,12,steelblue
Sign,0,127,255,255,13,dodgerblue
Slope,225,225,0,255,14,gold
Bridge,76,254,194,255,15,turquoise
Wall,75,0,130,255,16,indigo
Floor,128,128,128,255,17,gray
Ceiling,107,127,251,255,18,cornflowerblue
Door,118,174,7,255,19,olivedrab
Stairs,149,251,101,255,20,lightgreen
Structure,254,205,114,255,21,khaki
Window,255,120,120,255,22,salmon
Shelf,119,12,236,255,23,blueviolet
Plant,0,255,0,255,24,lime
Bed,255,127,0,255,25,darkorange
Storage,186,30,114,255,26,mediumvioletred
Table,225,0,225,255,27,magenta
Chair,45,194,230,255,28,mediumturquoise
Wall_Decoration,11,74,175,255,29,darkslateblue
Couch,225,0,0,255,30,red
Light,127,0,0,255,31,maroon
Appliance,12,180,15,255,32,forestgreen
Thing,127,255,0,255,33,chartreuse
Deformable,21,219,128,255,34,springgreen
Dynamic_NonHuman,255,127,255,255,35,violet
Human,3,140,92,255,36,teal
