name,red,green,blue,alpha,id,color
Airventilation_3x,255,20,127,255,1,deeppink
Airventilation_CrossSection,255,20,127,255,1,deeppink 1
AirventilationGrid_A,255,20,127,255,1,deeppink 2
AirventilationGrid_B,255,20,127,255,1,deeppink 3
Books,250,50,50,255,2,crimson
Bookshelf,250,50,50,255,2,crimson 1
Bottle,255,20,127,255,1,deeppink 4
Box_Black,255,20,127,255,1,deeppink 5
Box_Cardboard,255,20,127,255,1,deeppink 6
Box_Gray,255,20,127,255,1,deeppink 7
CardboardBox01,255,20,127,255,1,deeppink 8
Carpet_End,169,169,169,255,3,darkgray
Carpet_Full_Short,169,169,169,255,3,darkgray 1
Carpet_SingleSmallRound,169,169,169,255,3,darkgray 2
Carpet_Tile,169,169,169,255,3,darkgray 3
Cart,32,32,32,255,0,black
CeilingHang01,102,0,204,255,4,darkviolet
CeilingLamp,102,0,204,255,4,darkviolet 1
CeilingLamp_Embed,102,0,204,255,4,darkviolet 2
CeilingLamp_Roofpart,102,0,204,255,4,darkviolet 3
Cell_Bars_Large,32,32,32,255,0,black 1
Cell_Bed,32,32,32,255,0,black 2
Cell_Complete,2,103,71,255,19,darkslategray
Cell_Shelf,154,229,206,255,9,powderblue
Cell_Sink,32,32,32,255,0,black 3
Cell_Toilet,32,32,32,255,0,black 4
Chair_LeatherOffice,102,255,0,255,5,lawngreen
Chair_Spinning,102,255,0,255,5,lawngreen 1
Chair_Wood,102,255,0,255,5,lawngreen 2
Closet_Door_L,154,229,206,255,9,powderblue 1
Closet_Door_R,154,229,206,255,9,powderblue 2
Closet_Metal,32,32,32,255,0,black 5
Collider_Backup,32,32,32,255,0,black 6
CorkBoard,32,32,32,255,0,black 7
Couch_1seat,39,144,65,255,7,seagreen
Couch_2seat,39,144,65,255,7,seagreen 1
Couch_3seat,39,144,65,255,7,seagreen 2
Desk,54,176,239,255,16,dodgerblue
Door_Bronze_Metal_Window,154,229,206,255,9,powderblue 3
Door_Cell,154,229,206,255,9,powderblue 4
Door_L,154,229,206,255,9,powderblue 5
Door_Metal_Gray,154,229,206,255,9,powderblue 6
Door_MetalDark,154,229,206,255,9,powderblue 7
Door_R,154,229,206,255,9,powderblue 8
Door_Wooden_Black,154,229,206,255,9,powderblue 9
Drawer_A,154,229,206,255,9,powderblue 10
Drawer_B,154,229,206,255,9,powderblue 11
Drawer_C,154,229,206,255,9,powderblue 12
Dresser_A_WithBooks,154,229,206,255,9,powderblue 13
Elevator,2,103,71,255,19,darkslategray 1
Elevator_Panel_Inside,2,103,71,255,19,darkslategray 2
Elevator_Panel_Outside,2,103,71,255,19,darkslategray 3
ElevatorDoor_L,2,103,71,255,19,darkslategray 4
ElevatorDoor_R,2,103,71,255,19,darkslategray 5
ExitSign_A,32,32,32,255,0,black 8
ExitSign_B,32,32,32,255,0,black 9
ExitWay_Lamp,32,32,32,255,0,black 10
Fan_Blades,255,23,23,255,10,red
FanTable,54,176,239,255,16,dodgerblue 1
File_Papers,255,23,23,255,10,red 1
FileFolder,255,23,23,255,10,red 2
Files_Drawer,255,23,23,255,10,red 3
Flagpole_Wall,32,32,32,255,0,black 11
