name,red,green,blue,alpha,id,color
Graphics,26,127,81,255,0,seagreen
Intercom,128,29,137,255,0,purple
Lamp1,8,10,16,255,11,black
AC_Duct,80,184,210,255,0,mediumturquoise
Graffiti3,12,112,165,255,19,darkcyan
Ceiling_8x8_LOD1,135,191,186,255,4,mediumaquamarine
Ceiling_8x8_LOD0,245,116,121,255,4,salmon
Trashcan,41,113,228,255,18,royalblue
Concrete_Beam,129,10,2,255,0,maroon
Tunnel_Lamp,188,49,10,255,11,firebrick
Ceiling_4x4,151,114,194,255,4,mediumpurple
Display_LG,36,144,165,255,19,lightseagreen
Phone,53,240,253,255,10,turquoise
Floor_4x4_3,151,83,176,255,3,darkorchid
Ad_Benbow,105,159,5,255,19,olivedrab
Ceiling2_4x4,117,171,54,255,4,olivedrab 1
Ground_Dirt_LG,137,206,174,255,3,mediumaquamarine 1
Railing_LG,71,86,68,255,0,darkslategray
AC_Pipe_LOD0,46,164,194,255,4,lightseagreen 1
AC_Pipe_LOD1,133,186,142,255,4,darkseagreen
Vent_LG,54,180,24,255,0,limegreen
Ceiling_8x8_Pipes_LOD1,164,142,124,255,4,rosybrown
Ceiling_8x8_Pipes_LOD0,204,61,152,255,4,mediumvioletred
Ceiling_8x8_Pipes_LOD2,31,141,202,255,4,steelblue
Pillar_Concrete,246,202,156,255,19,navajowhite
Floor_4x4,222,117,231,255,3,orchid
Floor_platform_Cable_LOD0,85,151,231,255,3,cornflowerblue
Floor_platform_Cable_LOD1,2,197,183,255,3,darkturquoise
Pipes_LOD1,46,141,196,255,4,steelblue 1
Pipes_LOD0,230,102,158,255,4,palevioletred
Floor_Platform_NOCable_2,141,63,58,255,3,sienna
Metal_Pillar_SM,205,112,200,255,19,orchid 1
Advert3,55,222,173,255,19,turquoise 1
Ceiling_4x4_LOD0,53,46,248,255,4,royalblue 1
Ceiling_4x4_LOD1,245,50,67,255,4,crimson
Posters3,85,11,151,255,19,indigo
Metal_Pillar,73,109,226,255,19,royalblue 2
